404: Not Found
🩶酒店频道&爬虫,#genre#
珠江台,http://58.254.14.218:808/hls/55/index.m3u8
广东珠江,http://113.101.119.119:808/hls/105/index.m3u8
经典电影,http://58.254.14.218:808/hls/512/index.m3u8
天良,http://60.248.91.20:8000/main
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
AMC音乐,https://AMChls.wns.live/hls/stream.m3u8
US|StarMovies,http://doubleclicktv.live/70376812/52663544/276996
八大综艺台,https://litv.zapi.us.kg/?id=4gtv-4gtv039
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
采昌影剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv049
大爱1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8?
大爱2,http://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
东森超视,rtmp://f13h.mine.nu/sat/tv331
凤凰香港,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
华视,rtmp://f13h.mine.nu/sat/tv111
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
靖天国际台,https://litv.zapi.us.kg/?id=4gtv-4gtv063
靖天卡通台,https://litv.zapi.us.kg/?id=4gtv-4gtv044
靖天戏剧台,https://litv.zapi.us.kg/?id=4gtv-4gtv058
靖天资讯台,https://litv.zapi.us.kg/?id=4gtv-4gtv065
靖洋卡通台,https://litv.zapi.us.kg/?id=4gtv-4gtv057
龙华偶像台,https://litv.zapi.us.kg/?id=litv-longturn12
龙华日韩台,https://litv.zapi.us.kg/?id=litv-longturn11
美亚C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
CAT电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv076
民视第一台,https://litv.zapi.us.kg/?id=4gtv-4gtv003
民视闽南台,https://litv.zapi.us.kg/?id=4gtv-4gtv002
民视台湾台,https://litv.zapi.us.kg/?id=4gtv-4gtv001
民视综艺台,https://litv.zapi.us.kg/?id=4gtv-4gtv004
三立新闻,http://211.72.65.236:8543/.m3u8
台湾戏剧台,https://litv.zapi.us.kg/?id=litv-longturn22
天良综合台,http://60.248.91.20:8000/main
tvbs新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv072
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
中视菁采台,https://litv.zapi.us.kg/?id=4gtv-4gtv064
中视新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv074
中天新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv009
猪哥亮歌厅秀,https://litv.zapi.us.kg/?id=4gtv-4gtv006
亚洲卫视,http://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8
BLOOMBERG,http://37.27.111.214:8080/live/34/hls.m3u8
CINEMAWORLD,http://37.27.111.214:8080/live/30/hls.m3u8
HISTORY,http://37.27.111.214:8080/live/27/hls.m3u8
HITS,http://37.27.111.214:8080/live/28/hls.m3u8
Nickelodeon,http://37.27.111.214:8080/live/12/hls.m3u8
大爱1,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
TV5MONDE,http://37.27.111.214:8080/live/9/hls.m3u8
TVBS欢乐台,http://37.27.111.214:8080/live/24/hls.m3u8
TVBS新闻,http://211.72.65.236:8574/.m3u8
TVBS,http://37.27.111.214:8080/live/23/hls.m3u8
TiTV,http://37.27.111.214:8080/live/2/hls.m3u8
靖天日本台,https://litv.zapi.us.kg/?id=4gtv-4gtv047
US|AMCWest,http://doubleclicktv.live:80/70376812/52663544/295775
半岛新闻「英语」,https://live-hls-web-aje.getaj.net/AJE/02.m3u8?zshijdp
博斯高球1,http://37.27.111.214:8080/live/13/hls.m3u8
博斯无限,http://37.27.111.214:8080/live/15/hls.m3u8
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
大爱1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
动画台,http://37.27.111.214:8080/live/57/hls.m3u8
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
非凡新闻台,https://litv.zapi.us.kg/?id=4gtv-4gtv010
hokkotv,http://37.27.111.214:8080/live/1/hls.m3u8
华视新闻,http://37.27.111.214:8080/live/8/hls.m3u8
靖天育乐台,https://litv.zapi.us.kg/?id=4gtv-4gtv062
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
民视,http://37.27.111.214:8080/live/6/hls.m3u8
民视第一,http://37.27.111.214:8080/live/4/hls.m3u8
民视台湾,http://37.27.111.214:8080/live/5/hls.m3u8
民视台湾台,https://litv.zapi.us.kg/?id=4gtv-4gtv156
momo,http://37.27.111.214:8080/live/3/hls.m3u8
nickjr,http://37.27.111.214:8080/live/22/hls.m3u8
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612417/live.m3u8?zbid=2046370057&tpid=330913109&type=0
幸福空间,http://37.27.111.214:8080/live/26/hls.m3u8
亚洲旅游,http://37.27.111.214:8080/live/10/hls.m3u8
亚洲旅游台,https://litv.zapi.us.kg/?id=litv-longturn17
神乐影院,http://zzy789.xyz/douyu1.php?id=122402
中视,http://37.27.111.214:8080/live/7/hls.m3u8
中视,rtmp://f13h.mine.nu/sat/tv091
中天新闻,http://211.72.65.236:8541/.m3u8
猪哥亮,http://37.27.111.214:8080/live/35/hls.m3u8
MTV,http://37.27.111.214:8080/live/25/hls.m3u8
民视,rtmp://f13h.mine.nu/sat/tv051
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
大爱2,http://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8?
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
靖天电影台,https://litv.zapi.us.kg/?id=4gtv-4gtv061
